second,1,7,21,31,37,50,55,56,69,71
950400,1,0,0,0,0,0,0,1,1,1
950401,1,0,0,0,0,1,0,0,0,0
950402,1,0,0,1,0,0,0,0,0,0
950404,0,0,0,0,0,0,1,0,0,0
950408,1,0,0,0,1,0,0,0,0,0
950460,1,0,0,0,0,0,0,0,0,1
950520,1,0,0,0,0,0,0,0,0,1
950523,1,0,0,0,0,0,1,0,0,0
950580,1,0,0,0,0,0,0,0,1,1
950582,1,0,0,1,0,0,0,0,0,0
950588,1,0,0,0,1,0,0,0,0,0
950640,0,0,0,0,0,0,0,0,0,1
950643,0,0,0,0,0,0,1,0,0,0
950700,1,0,0,0,0,0,0,1,0,1
950701,1,0,0,0,0,1,0,0,0,0
950760,1,0,0,0,0,0,0,0,1,0
950762,1,0,0,1,0,0,0,0,0,0
950763,1,0,0,0,0,0,1,0,0,0
950766,1,0,0,0,0,0,0,0,0,1
950768,1,0,0,0,1,0,0,0,0,0
950820,1,0,0,0,0,0,0,0,0,1
950880,1,0,0,0,0,0,0,0,0,1
950883,1,0,0,0,0,0,1,0,0,0
950940,0,0,0,0,0,0,0,0,0,1
950942,0,0,0,1,0,0,0,0,0,0
950948,1,0,0,0,1,0,0,0,0,0
951000,1,0,0,0,0,0,0,1,0,1
951001,1,0,0,0,0,1,0,0,0,0
951004,1,0,0,0,0,0,1,0,0,0
951060,1,0,0,0,0,0,0,0,0,1
951120,1,0,0,0,0,0,0,0,0,1
951122,1,0,0,1,0,0,0,0,0,0
951124,1,0,0,0,0,0,1,0,0,0
951128,1,0,0,0,1,0,0,0,0,0
951180,1,0,0,0,0,0,0,0,0,1
951240,0,0,0,0,0,0,0,0,0,1
951244,1,0,0,0,0,0,1,0,0,0
951300,1,0,0,0,0,0,0,1,0,1
951301,1,0,0,0,0,1,0,0,0,0
951302,0,0,0,1,0,0,0,0,0,0
951308,1,0,0,0,1,0,0,0,0,0
951360,0,0,0,0,0,0,0,0,0,1
951364,0,0,0,0,0,0,1,0,0,0
951420,0,0,0,0,0,0,0,0,0,1
951480,0,0,0,0,0,0,0,0,0,1
951482,0,0,0,1,0,0,0,0,0,0
951483,0,0,0,0,0,0,1,0,0,0
951488,0,0,0,0,1,0,0,0,0,0
951540,0,0,0,0,0,0,0,0,0,1
951600,1,0,0,0,0,0,0,1,0,1
951601,0,0,0,0,0,1,0,0,0,0
951604,1,0,0,0,0,0,1,0,0,0
951660,1,0,0,0,0,0,0,0,0,1
951662,1,0,0,1,0,0,0,0,0,0
951668,1,0,0,0,1,0,0,0,0,0
951724,0,0,0,0,0,0,1,0,0,0
951743,0,0,0,0,0,0,0,0,0,1
951780,0,0,0,0,0,0,0,0,0,1
951840,1,0,0,0,0,0,0,0,0,1
951842,1,0,0,1,0,0,0,0,0,0
951844,0,0,0,0,0,0,1,0,0,0
951848,1,0,0,0,1,0,0,0,0,0
951900,0,0,0,0,0,0,0,1,0,1
951901,0,0,0,0,0,1,0,0,0,0
951960,0,0,0,0,0,0,0,0,0,1
